,ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,VALUE,VOLUME,WAPRICE,WAVAL
0,,0,SMAL,184.09,187.11,,179.38,,,0,0,21,179.38,GAZP,ГАЗПРОМ ао,2020-04-20,10651.94,58,184.63,
1,,0,SPEQ,,,,,,,0,0,0,,GAZP,ГАЗПРОМ ао,2020-04-20,0,0,,
2,185.51,6331389367.4,TQBR,185.51,186.25,185.51,183,184.62,184.62,6331389367.4,6331389367.4,53742,184.12,GAZP,ГАЗПРОМ ао,2020-04-20,6331389367.4,34294290,184.63,
3,,0,SMAL,182.58,185.51,,180.61,,,0,0,37,185.51,GAZP,ГАЗПРОМ ао,2020-04-21,11287.77,62,181.64,
4,,0,SPEQ,,,,,,,0,0,0,,GAZP,ГАЗПРОМ ао,2020-04-21,0,0,,
5,181.92,12160626352.3,TQBR,181.92,184.5,181.92,179.05,181.63,181.63,12160626352.3,12160626352.3,98402,183.15,GAZP,ГАЗПРОМ ао,2020-04-21,12160626352.3,66952420,181.64,
6,,0,SMAL,188.01,188.01,,161.49,,,0,0,22,161.49,GAZP,ГАЗПРОМ ао,2020-04-22,7406.88,41,185.93,
7,,0,SPEQ,,,,,,,0,0,0,,GAZP,ГАЗПРОМ ао,2020-04-22,0,0,,
8,188.36,8974811947.2,TQBR,188.36,188.55,188.36,180.33,185.92,185.92,8974811947.2,8974811947.2,73261,181.08,GAZP,ГАЗПРОМ ао,2020-04-22,8974811947.2,48272330,185.93,
9,,0,SMAL,191,191.01,,185.29,,,0,0,20,185.29,GAZP,ГАЗПРОМ ао,2020-04-23,7583.6,40,189.53,
10,,0,SPEQ,,,,,,,0,0,0,,GAZP,ГАЗПРОМ ао,2020-04-23,0,0,,
11,188.73,7575942234.1,TQBR,188.73,191.59,188.73,187.5,189.48,189.48,7575942234.1,7575942234.1,61133,189.98,GAZP,ГАЗПРОМ ао,2020-04-23,7575942234.1,39982360,189.53,
12,,0,SMAL,185.31,189.56,,185.01,,,0,0,44,187.66,GAZP,ГАЗПРОМ ао,2020-04-24,23775.5,128,186.4,
13,,0,SPEQ,,,,,,,0,0,0,,GAZP,ГАЗПРОМ ао,2020-04-24,0,0,,
14,185.71,6847356577.8,TQBR,185.71,187.95,185.71,185.1,186.4,186.4,6847356577.8,6847356577.8,79109,187.95,GAZP,ГАЗПРОМ ао,2020-04-24,6847356577.8,36735480,186.4,
